"Subject" "BoutLength" "TimeFactor" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "TimePoint"
"152" 2 1 1 0 0 0 0 0 0 0 1 34
"153" 2 1 1 0 0 0 0 0 0 0 1 35
"154" 2 1 1 0 1 0 0 0 0 0 0 36
"155" 2 1 1 0 0 0 0 0 0 0 1 37
"156" 2 3 1 0.666666666666667 0.333333333333333 0 0 0 0 0 0 38
"157" 2 2 1 0 0.5 0 0 0 0.5 0 0 39
"158" 2 1 1 0 0 0 0 0 0 0 1 40
"159" 2 1 1 0 0 0 0 0 0 0 1 41
"160" 2 1 1 1 0 0 0 0 0 0 0 42
"161" 2 1 1 0 0 0 0 0 0 0 1 43
"162" 2 3 1 0.666666666666667 0 0 0 0 0 0 0.333333333333333 44
"163" 2 1 1 0 1 0 0 0 0 0 0 45
"164" 2 1 1 0 0 0 0 1 0 0 0 46
"165" 2 1 1 0 0 1 0 0 0 0 0 47
"166" 2 1 1 0 0 0 0 1 0 0 0 48
"167" 2 1 1 0 0 0 0 0 0 1 0 49
"168" 2 1 1 0 1 0 0 0 0 0 0 50
"169" 2 1 1 1 0 0 0 0 0 0 0 51
"170" 2 1 1 0 0 1 0 0 0 0 0 52
"171" 2 3 1 0.666666666666667 0 0 0 0 0 0.333333333333333 0 53
"172" 2 1 1 0 0 0 0 1 0 0 0 54
"173" 2 1 1 0 0 1 0 0 0 0 0 55
"174" 2 1 1 0 0 1 0 0 0 0 0 56
"175" 2 1 1 0 0 1 0 0 0 0 0 57
"176" 2 1 1 0 0 1 0 0 0 0 0 58
"177" 2 1 1 0 0 0 0 0 0 1 0 59
"178" 2 1 1 0 0 1 0 0 0 0 0 60
"179" 2 1 1 1 0 0 0 0 0 0 0 61
"180" 2 1 1 0 0 1 0 0 0 0 0 62
"181" 2 1 1 0 0 0 0 0 0 0 1 63
"182" 2 1 1 0 0 0 0 0 0 0 1 64
"183" 2 1 1 0 0 0 0 0 0 0 1 65
"184" 2 1 1 0 0 0 0 0 0 0 1 66
"185" 2 1 1 0 1 0 0 0 0 0 0 67
"186" 2 1 1 0 0 0 0 0 0 1 0 68
"187" 2 1 1 0 1 0 0 0 0 0 0 69
"188" 2 1 1 0 0 1 0 0 0 0 0 70
"189" 2 1 1 0 0 0 0 0 0 1 0 71
"190" 2 1 1 0 1 0 0 0 0 0 0 72
"191" 2 1 1 0 0 0 0 0 0 1 0 73
"192" 2 1 1 0 1 0 0 0 0 0 0 74
"193" 2 1 1 0 0 1 0 0 0 0 0 75
"194" 2 1 1 0 1 0 0 0 0 0 0 76
"195" 2 3 1 0.666666666666667 0 0.333333333333333 0 0 0 0 0 77
"196" 2 1 1 0 0 0 0 0 0 0 1 78
"197" 2 1 1 0 0 0 1 0 0 0 0 79
"198" 2 2 1 1 0 0 0 0 0 0 0 80
"199" 2 1 1 0 1 0 0 0 0 0 0 81
"200" 2 3 1 0.666666666666667 0 0.333333333333333 0 0 0 0 0 82
"201" 2 2 2 0.5 0.5 0 0 0 0 0 0 1
"202" 2 1 2 0 0 0 0 0 0 0 1 2
"203" 2 1 2 0 0 0 0 0 0 0 1 3
"204" 2 2 2 0.5 0 0 0 0 0.5 0 0 4
"205" 2 3 2 0.666666666666667 0.333333333333333 0 0 0 0 0 0 5
"206" 2 2 2 0.5 0.5 0 0 0 0 0 0 6
"207" 2 1 2 0 1 0 0 0 0 0 0 7
"208" 2 1 2 0 0 1 0 0 0 0 0 8
"209" 2 1 2 0 1 0 0 0 0 0 0 9
"210" 2 1 2 0 0 1 0 0 0 0 0 10
"211" 2 1 2 0 0 0 0 0 0 1 0 11
"212" 2 3 2 0.666666666666667 0 0 0 0.333333333333333 0 0 0 12
"213" 2 1 2 0 0 0 0 0 0 0 1 13
"214" 2 2 2 0.5 0 0 0 0 0.5 0 0 14
"215" 2 1 2 0 1 0 0 0 0 0 0 15
"216" 2 1 2 0 0 0 0 0 1 0 0 16
"217" 2 1 2 0 0 0 0 1 0 0 0 17
"218" 2 1 2 1 0 0 0 0 0 0 0 18
"219" 2 1 2 0 0 0 0 0 0 0 1 19
"220" 2 1 2 0 1 0 0 0 0 0 0 20
"221" 2 1 2 1 0 0 0 0 0 0 0 21
"222" 2 1 2 0 0 0 0 0 1 0 0 22
"223" 2 1 2 0 0 0 0 0 0 0 1 23
"224" 2 1 2 0 0 0 0 0 1 0 0 24
"225" 2 1 2 0 0 0 0 0 0 0 1 25
"226" 2 3 2 0.666666666666667 0.333333333333333 0 0 0 0 0 0 26
"227" 2 2 2 1 0 0 0 0 0 0 0 27
"228" 2 1 2 0 0 0 0 0 0 1 0 28
"229" 2 1 2 0 0 0 0 0 1 0 0 29
"230" 2 1 2 0 0 1 0 0 0 0 0 30
"231" 2 1 2 0 0 1 0 0 0 0 0 31
"232" 2 1 2 0 0 0 0 0 0 0 1 32
"233" 2 1 2 0 0 0 0 0 1 0 0 33
"234" 2 5 2 1 0 0 0 0 0 0 0 34
"235" 2 1 2 0 0 0 0 0 0 0 1 35
"236" 2 1 2 0 0 0 0 0 1 0 0 36
"237" 2 2 2 0 0 0 0 0 0.5 0.5 0 37
"238" 2 1 2 0 0 0 0 0 0 0 1 38
"239" 2 1 2 1 0 0 0 0 0 0 0 39
"240" 2 2 2 0.5 0 0.5 0 0 0 0 0 40
"241" 2 1 2 0 0 1 0 0 0 0 0 41
"242" 2 1 2 0 0 0 0 0 0 0 1 42
"243" 2 1 2 0 0 0 0 0 0 1 0 43
"244" 2 1 2 0 1 0 0 0 0 0 0 44
"245" 2 1 2 0 0 1 0 0 0 0 0 45
"246" 2 1 2 0 1 0 0 0 0 0 0 46
"247" 2 1 2 0 0 0 0 1 0 0 0 47
"248" 2 1 2 1 0 0 0 0 0 0 0 48
"249" 2 1 2 0 0 0 0 0 1 0 0 49
"250" 2 1 2 0 0 1 0 0 0 0 0 50
"251" 2 1 3 0 1 0 0 0 0 0 0 1
"252" 2 1 3 0 0 0 0 1 0 0 0 2
"253" 2 5 3 0.8 0.2 0 0 0 0 0 0 3
"254" 2 1 3 0 0 0 0 0 0 0 1 4
"255" 2 1 3 0 0 0 0 0 0 0 1 5
"256" 2 1 3 0 0 0 0 0 1 0 0 6
"257" 2 1 3 0 1 0 0 0 0 0 0 7
"258" 2 2 3 0.5 0 0 0.5 0 0 0 0 8
"259" 2 1 3 0 0 1 0 0 0 0 0 9
"260" 2 1 3 0 0 1 0 0 0 0 0 10
"261" 2 1 3 0 1 0 0 0 0 0 0 11
"262" 2 3 3 0.666666666666667 0 0 0.333333333333333 0 0 0 0 12
"263" 2 1 3 0 0 0 0 0 0 0 1 13
"264" 2 1 3 0 0 0 0 0 0 0 1 14
"265" 2 3 3 0.666666666666667 0 0.333333333333333 0 0 0 0 0 15
"266" 2 1 3 0 0 0 0 0 0 0 1 16
"267" 2 1 3 1 0 0 0 0 0 0 0 17
"268" 2 1 3 0 0 1 0 0 0 0 0 18
"269" 2 1 3 0 0 0 1 0 0 0 0 19
"270" 2 1 3 0 0 0 0 0 1 0 0 20
"271" 2 1 3 0 0 0 0 1 0 0 0 21
"272" 2 2 3 0.5 0 0 0 0 0.5 0 0 22
"273" 2 1 3 0 0 1 0 0 0 0 0 23
"274" 2 1 3 0 0 1 0 0 0 0 0 24
"275" 2 1 3 0 0 1 0 0 0 0 0 25
"276" 2 1 3 0 0 0 0 0 0 0 1 26
"277" 2 1 3 0 0 0 0 0 0 0 1 27
"278" 2 1 3 0 1 0 0 0 0 0 0 28
"279" 2 1 3 0 1 0 0 0 0 0 0 29
"280" 2 1 3 0 0 0 0 0 0 0 1 30
"281" 2 1 3 0 0 0 0 0 0 0 1 31
"282" 2 1 3 0 0 0 0 0 0 0 1 32
"283" 2 1 3 0 1 0 0 0 0 0 0 33
"284" 2 3 3 0.666666666666667 0 0.333333333333333 0 0 0 0 0 34
"285" 2 1 3 0 0 0 0 1 0 0 0 35
"286" 2 1 3 1 0 0 0 0 0 0 0 36
"287" 2 1 3 0 0 0 0 1 0 0 0 37
"288" 2 2 3 0.5 0 0 0 0 0 0 0.5 38
"289" 2 1 3 0 1 0 0 0 0 0 0 39
"290" 2 1 3 0 0 0 0 0 0 0 1 40
"291" 2 1 3 0 0 0 0 1 0 0 0 41
"292" 2 1 3 0 0 1 0 0 0 0 0 42
"293" 2 2 3 0.5 0 0 0 0 0 0 0.5 43
"294" 2 1 4 0 0 1 0 0 0 0 0 1
"295" 2 1 4 0 0 0 0 0 1 0 0 2
"296" 2 1 4 0 0 0 0 1 0 0 0 3
"297" 2 1 4 0 1 0 0 0 0 0 0 4
"298" 2 1 4 0 0 0 0 0 0 0 1 5
"299" 2 1 4 1 0 0 0 0 0 0 0 6
"300" 2 1 4 0 0 1 0 0 0 0 0 7
"301" 2 1 4 0 0 0 1 0 0 0 0 8
"302" 2 1 4 1 0 0 0 0 0 0 0 9
"303" 2 1 4 0 0 1 0 0 0 0 0 10
"304" 2 3 4 0.333333333333333 0 0 0 0.333333333333333 0 0 0.333333333333333 11
"305" 2 1 4 0 1 0 0 0 0 0 0 12
"306" 2 1 4 0 0 0 0 0 0 0 1 13
"307" 2 3 4 0.666666666666667 0 0 0 0 0 0 0.333333333333333 14
"308" 2 1 4 0 0 0 0 0 1 0 0 15
"309" 2 3 4 0.666666666666667 0 0.333333333333333 0 0 0 0 0 16
"310" 2 1 4 0 0 0 0 0 0 0 1 17
"311" 2 1 4 0 1 0 0 0 0 0 0 18
"312" 2 2 4 0 0 0 1 0 0 0 0 19
"313" 2 1 4 0 0 0 0 0 0 1 0 20
"314" 2 2 4 0.5 0 0 0 0 0 0 0.5 21
"315" 2 2 4 0.5 0 0 0 0 0 0 0.5 22
"316" 2 1 4 0 0 0 0 0 0 0 1 23
"317" 2 1 4 0 0 0 0 0 0 0 1 24
"318" 2 1 4 1 0 0 0 0 0 0 0 25
"319" 2 1 4 0 0 0 0 0 0 0 1 26
"320" 2 1 4 0 0 0 0 0 0 1 0 27
"321" 2 1 4 0 0 0 0 0 1 0 0 28
"322" 2 1 4 0 0 1 0 0 0 0 0 29
"323" 2 1 4 0 0 1 0 0 0 0 0 30
"324" 2 3 4 1 0 0 0 0 0 0 0 31
"325" 2 1 4 0 0 0 0 1 0 0 0 32
"326" 2 2 4 0.5 0 0.5 0 0 0 0 0 33
"327" 2 2 4 0.5 0.5 0 0 0 0 0 0 34
"328" 2 1 4 0 0 0 0 0 0 0 1 35
"329" 2 1 4 0 0 0 0 0 1 0 0 36
"330" 2 1 4 0 0 0 0 0 0 0 1 37
"331" 2 1 4 0 0 0 0 0 1 0 0 38
"332" 2 2 4 0.5 0 0.5 0 0 0 0 0 39
"333" 2 2 4 0.5 0.5 0 0 0 0 0 0 40
"334" 2 3 5 0.666666666666667 0 0 0 0.333333333333333 0 0 0 1
"335" 2 5 5 0.8 0 0.2 0 0 0 0 0 2
"336" 2 1 5 0 0 1 0 0 0 0 0 3
"337" 2 1 5 0 0 0 1 0 0 0 0 4
"338" 2 1 5 0 0 0 0 0 0 0 1 5
"339" 2 1 5 0 0 1 0 0 0 0 0 6
"340" 2 1 5 0 0 0 0 0 0 0 1 7
"341" 2 3 5 0.666666666666667 0 0 0 0 0 0.333333333333333 0 8
"342" 2 1 5 0 0 0 0 0 1 0 0 9
"343" 2 3 5 0.666666666666667 0 0 0.333333333333333 0 0 0 0 10
"344" 2 1 5 0 0 0 0 0 0 0 1 11
"345" 2 1 5 1 0 0 0 0 0 0 0 12
"346" 2 1 5 0 0 0 0 0 0 0 1 13
