"Subject" "BoutLength" "TimeFactor" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "TimePoint"
"167" 2 1 1 0 0 0 0 0 0 1 0 5
"168" 2 1 1 0 0 0 0 0 1 0 0 6
"169" 2 1 1 0 0 0 0 0 1 0 0 7
"170" 2 1 1 0 0 0 0 0 0 0 1 8
"171" 2 1 1 1 0 0 0 0 0 0 0 9
"172" 2 1 1 0 0 0 0 0 1 0 0 10
"173" 2 1 1 1 0 0 0 0 0 0 0 11
"174" 2 1 1 0 0 1 0 0 0 0 0 12
"175" 2 2 1 1 0 0 0 0 0 0 0 13
"176" 2 1 1 0 0 1 0 0 0 0 0 14
"177" 2 1 1 1 0 0 0 0 0 0 0 15
"178" 2 1 1 0 0 0 0 0 1 0 0 16
"179" 2 1 1 0 0 0 0 0 0 1 0 17
"180" 2 1 1 0 0 0 0 0 0 0 1 18
"181" 2 1 1 1 0 0 0 0 0 0 0 19
"182" 2 1 1 0 0 0 1 0 0 0 0 20
"183" 2 1 1 1 0 0 0 0 0 0 0 21
"184" 2 1 1 0 0 0 0 0 1 0 0 22
"185" 2 1 1 1 0 0 0 0 0 0 0 23
"186" 2 1 1 0 0 0 0 0 1 0 0 24
"187" 2 1 1 0 0 0 0 0 0 0 1 25
"188" 2 1 1 0 0 0 0 0 1 0 0 26
"189" 2 1 1 0 0 0 0 0 0 1 0 27
"190" 2 1 1 0 0 0 0 0 0 0 1 28
"191" 2 1 1 0 0 0 0 0 1 0 0 29
"192" 2 1 1 0 1 0 0 0 0 0 0 30
"193" 2 1 1 0 0 0 0 0 1 0 0 31
"194" 2 1 1 0 1 0 0 0 0 0 0 32
"195" 2 1 1 0 0 0 0 0 0 0 1 33
"196" 2 1 1 0 1 0 0 0 0 0 0 34
"197" 2 2 1 0.5 0.5 0 0 0 0 0 0 35
"198" 2 1 1 0 1 0 0 0 0 0 0 36
"199" 2 1 1 0 0 0 0 0 0 0 1 37
"200" 2 1 1 0 0 0 0 0 0 0 1 38
"201" 2 1 1 0 1 0 0 0 0 0 0 39
"202" 2 1 1 0 0 0 0 0 1 0 0 40
"203" 2 1 1 0 0 1 0 0 0 0 0 41
"204" 2 1 1 0 0 0 0 0 1 0 0 42
"205" 2 1 1 0 0 0 0 0 0 1 0 43
"206" 2 2 1 0.5 0 0 0 0 0 0 0.5 44
"207" 2 2 1 1 0 0 0 0 0 0 0 45
"208" 2 1 1 0 0 0 0 0 0 0 1 46
"209" 2 1 1 0 0 0 0 0 0 0 1 47
"210" 2 1 1 1 0 0 0 0 0 0 0 48
"211" 2 1 1 1 0 0 0 0 0 0 0 49
"212" 2 1 1 0 0 0 1 0 0 0 0 50
"213" 2 1 1 0 0 0 0 0 0 1 0 51
"214" 2 1 1 0 0 0 0 0 1 0 0 52
"215" 2 1 1 1 0 0 0 0 0 0 0 53
"216" 2 1 1 0 1 0 0 0 0 0 0 54
"217" 2 1 1 0 0 1 0 0 0 0 0 55
"218" 2 1 1 1 0 0 0 0 0 0 0 56
"219" 2 1 1 0 0 0 0 1 0 0 0 57
"220" 2 1 1 0 0 0 0 0 1 0 0 58
"221" 2 2 1 0.5 0 0 0 0 0.5 0 0 59
"222" 2 1 1 0 1 0 0 0 0 0 0 60
"223" 2 1 1 0 0 0 0 0 0 0 1 61
"224" 2 1 1 1 0 0 0 0 0 0 0 62
"225" 2 1 1 0 0 1 0 0 0 0 0 63
"226" 2 1 1 0 0 0 0 0 1 0 0 64
"227" 2 1 1 0 1 0 0 0 0 0 0 65
"228" 2 1 1 0 1 0 0 0 0 0 0 66
"229" 2 2 1 0.5 0 0 0 0 0 0 0.5 67
"230" 2 1 1 0 1 0 0 0 0 0 0 68
"231" 2 1 1 0 1 0 0 0 0 0 0 69
"232" 2 1 1 0 0 1 0 0 0 0 0 70
"233" 2 1 1 0 0 0 0 0 1 0 0 71
"234" 2 1 1 1 0 0 0 0 0 0 0 72
"235" 2 1 1 0 1 0 0 0 0 0 0 73
"236" 2 1 1 0 0 0 0 0 0 0 1 74
"237" 2 1 1 0 0 0 0 0 1 0 0 75
"238" 2 1 1 0 0 0 0 0 0 0 1 76
"239" 2 1 1 0 1 0 0 0 0 0 0 77
"240" 2 1 1 0 1 0 0 0 0 0 0 78
"241" 2 1 1 0 1 0 0 0 0 0 0 79
"242" 2 1 1 0 1 0 0 0 0 0 0 80
"243" 2 1 1 0 0 0 0 1 0 0 0 81
"244" 2 1 1 0 0 1 0 0 0 0 0 82
"245" 2 1 1 0 0 0 0 0 0 0 1 83
"246" 2 1 1 0 0 0 0 0 1 0 0 84
"247" 2 1 1 0 1 0 0 0 0 0 0 85
"248" 2 1 1 0 0 0 0 0 0 1 0 86
"249" 2 1 1 1 0 0 0 0 0 0 0 87
"250" 2 1 1 0 1 0 0 0 0 0 0 88
"251" 2 1 1 0 0 0 0 0 0 0 1 89
"252" 2 1 1 0 0 0 0 0 1 0 0 90
"253" 2 1 1 0 0 0 0 0 1 0 0 91
"254" 2 1 1 0 0 0 0 0 1 0 0 92
"255" 2 1 1 0 0 0 0 0 1 0 0 93
